isoform_id	gene	transcript_id	biotype	GABA_pct	GABA_mean	other_pct	other_mean	logFC	n_GABA_detected	n_other_detected
Ptn-201	Ptn	ENSMUST00000101534	protein_coding	12.8968253968254	0.919767131741011	49.4847817023051	3.8465960442248	-2.06424058897705	130	8308
Isg15-201	Isg15	ENSMUST00000085425	protein_coding	11.4087301587302	0.86756230313619	41.6522723211627	3.61837523720074	-2.06030149138453	115	6993
Sypl-201	Sypl	ENSMUST00000020885	protein_coding	4.96031746031746	0.338488718910164	19.8999344809101	1.4112203161043	-2.05976033768043	50	3341
Plp1-202	Plp1	ENSMUST00000113085	protein_coding	8.53174603174603	0.672440314969016	27.9528262552862	2.79119830614735	-2.05340487204359	86	4693
Ogfr-201	Ogfr	ENSMUST00000029087	protein_coding	3.07539682539683	0.215346366634684	12.5975340997081	0.888296936577667	-2.0443779582542	31	2115
Vta1-205	Vta1	ENSMUST00000154132	protein_coding	2.67857142857143	0.182328138375727	10.6915242122819	0.741641213794914	-2.0241782238543	27	1795
Msmo1-201	Msmo1	ENSMUST00000034015	protein_coding	3.57142857142857	0.230186267113014	13.0859491333611	0.917109497068049	-1.9942875333366	36	2197
Dazap2-201	Dazap2	ENSMUST00000000356	protein_coding	5.25793650793651	0.365739037650995	20.5134314134255	1.44807964432363	-1.98525147644066	53	3444
Atp1b2-202	Atp1b2	ENSMUST00000130394	processed_transcript	8.03571428571429	0.554165787936011	27.9587825361844	2.19391905628038	-1.98511880108465	81	4694
Gnai2-201	Gnai2	ENSMUST00000055704	protein_coding	4.56349206349206	0.309556745831753	17.1421764250402	1.22317354523323	-1.98234982472149	46	2878
Sema4d-204	Sema4d	ENSMUST00000110042	protein_coding	2.57936507936508	0.179773767978709	10.0482458752755	0.692398525556893	-1.94541418841214	26	1687
Ppp2r5a-201	Ppp2r5a	ENSMUST00000067976	protein_coding	3.27380952380952	0.222456186454673	12.275894931205	0.855376727555857	-1.94303393723993	33	2061
Plcl1-201	Plcl1	ENSMUST00000042986	protein_coding	5.65476190476191	0.39462598532086	20.6206444695932	1.49317291797047	-1.9198206949902	57	3462
Slc16a2-201	Slc16a2	ENSMUST00000042664	protein_coding	3.86904761904762	0.26835064292896	13.9972601107868	1.0134353954695	-1.91705892044743	39	2350
Slc3a2-201	Slc3a2	ENSMUST00000010239	protein_coding	4.66269841269841	0.31709823499244	16.3976413127643	1.19036162862745	-1.90839483690303	47	2753
